Symptoms	O
of	O
glue	O
ear	O
The	O
most	O
common	O
sign	O
of	O
glue	O
ear	O
is	O
hearing	SYMP
loss	SYMP
,	O
which	O
can	O
affect	O
one	O
or	O
both	O
ears	O
.	O
If	O
your	O
child	O
is	O
struggling	SYMP
to	SYMP
hear	SYMP
,	O
they	O
may	O
:	O
have	O
difficulty	SYMP
understanding	SYMP
people	SYMP
who	O
are	O
far	O
away	O
speak	O
quietly	O
appear	O
unusually	O
tired	SYMP
or	O
irritable	SYMP
,	O
because	O
they	O
have	O
to	O
try	O
harder	O
to	O
listen	O
to	O
things	O
have	O
problems	SYMP
picking	SYMP
out	SYMP
conversations	SYMP
in	O
places	O
where	O
there	O
's	O
a	O
lot	O
of	O
background	O
noise	O
easily	O
``	O
tune	O
out	O
''	O
of	O
conversations	O
when	O
they	O
're	O
distracted	O
only	O
be	O
able	O
to	O
understand	SYMP
face-to-face	SYMP
conversations	SYMP
that	O
take	O
place	O
at	O
a	O
short	O
distance	O
experience	SYMP
problems	SYMP
with	SYMP
communication	SYMP
and	SYMP
learning	SYMP
,	O
and	O
social	O
skills	O
-LRB-	O
these	O
problems	O
will	O
usually	O
resolve	O
once	O
normal	O
hearing	O
is	O
restored	O
-RRB-	O
Read	O
more	O
about	O
the	O
symptoms	O
of	O
hearing	O
loss.Less	O
common	O
symptomsLess	O
common	O
symptoms	O
of	O
glue	O
ear	O
include	O
:	O
episodes	O
of	O
mild	SYMP
ear	SYMP
pain	SYMP
irritability	SYMP
problems	SYMP
sleeping	SYMP
balance	SYMP
problems	SYMP
and	O
clumsiness	SYMP
tinnitus	O
delayed	SYMP
speech	SYMP
and	SYMP
language	SYMP
development	SYMP
in	O
younger	O
children	O
,	O
if	O
the	O
condition	O
lasts	O
a	O
long	O
time	O
When	O
to	O
seek	O
medical	O
adviceIt	O
's	O
important	O
to	O
see	O
your	O
GP	O
if	O
you	O
're	O
concerned	O
that	O
your	O
child	O
may	O
be	O
having	O
hearing	O
problems.While	O
glue	O
ear	O
is	O
usually	O
the	O
most	O
common	O
cause	O
of	O
hearing	SYMP
loss	SYMP
in	O
children	O
,	O
further	O
tests	O
may	O
be	O
needed	O
to	O
rule	O
out	O
other	O
possible	O
causes.Read	O
more	O
about	O
diagnosing	O
glue	O
ear	O
.	O
